mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.03459696769714356,0.002995648092295383,0.09478812217712403,0.06049219732903266,3,1,1000,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'tfidf__max_features': 1000}",0.8194675540765392,0.7129783693843594,0.7470881863560732,0.7113144758735441,0.7343880099916736,0.7450473191364378,0.039553709388101634,16,0.8300395256916996,0.7333055960058248,0.7262325774911588,0.7322654462242563,0.7296173044925125,0.7502920899810904,0.03994862015483682
0.0347198486328125,0.004363460901737934,0.060558128356933597,0.0032731376212742544,3,1,2000,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'tfidf__max_features': 2000}",0.8227953410981698,0.7054908485856906,0.7354409317803661,0.7146422628951747,0.7252289758534555,0.7407196720425713,0.04225007334455227,17,0.8227584772207198,0.7484917828167256,0.7218639484085708,0.7278968171416684,0.7264975041597338,0.7495017059494836,0.03775548872440183
0.03265414237976074,0.00456269703412129,0.0663102149963379,0.0021021668535912527,3,1,3000,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'tfidf__max_features': 3000}",0.8094841930116472,0.7054908485856906,0.7021630615640599,0.6930116472545758,0.6877601998334721,0.7195819900498892,0.04539382090896016,18,0.8223424173080923,0.7137507801123362,0.7112544206365716,0.7185354691075515,0.7194259567387687,0.7370618087806642,0.042746826946876613
0.039944124221801755,0.002498720292894082,0.05239667892456055,0.008832912061239866,3,2,1000,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'tfidf__max_features': 1000}",0.8444259567387687,0.7271214642262895,0.7437603993344426,0.7321131447587355,0.7477102414654455,0.7590262413047364,0.04335075257883829,14,0.8645724984397753,0.8081963802787602,0.8086124401913876,0.8142292490118577,0.8090682196339434,0.8209357575111447,0.02192777577604564
0.03585457801818848,0.0051114934821309636,0.05084109306335449,0.004066408191697958,3,2,2000,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'tfidf__max_features': 2000}",0.8419301164725458,0.7121464226289518,0.7512479201331115,0.7262895174708819,0.7452123230641132,0.7553652599539208,0.04544617849597631,15,0.8560432702309132,0.8183898481381319,0.7634699396713127,0.7674225088412732,0.7624792013311148,0.7935609536425491,0.03761722114488837
0.03741230964660645,0.002147079112296561,0.0508875846862793,0.001841954957828873,3,2,3000,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'tfidf__max_features': 3000}",0.8569051580698835,0.7462562396006656,0.7637271214642263,0.7437603993344426,0.7585345545378851,0.7738366946014207,0.042194771281728306,13,0.8953609319742043,0.7969627626378198,0.8046598710214271,0.8071562304971915,0.8036605657237936,0.8215600723708872,0.03705421522277065
0.034343624114990236,0.0036990892601212965,0.0,0.0,3,3,1000,"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'tfidf__max_features': 1000}",,,,,,,,19,,,,,,,
0.025887489318847656,0.0015715489869496827,0.0,0.0,3,3,2000,"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'tfidf__max_features': 2000}",,,,,,,,19,,,,,,,
0.027666282653808594,0.003236652115274554,0.0,0.0,3,3,3000,"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'tfidf__max_features': 3000}",,,,,,,,19,,,,,,,
0.030469799041748048,0.0032156584979865115,0.06650838851928711,0.003140810499896421,5,1,1000,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'tfidf__max_features': 1000}",0.8252911813643927,0.8178036605657238,0.8244592346089851,0.8119800332778702,0.8276436303080766,0.8214355480250097,0.005747107799397804,7,0.8289993759101311,0.8283752860411899,0.823382567089661,0.8414811732889536,0.8267470881863561,0.8297970981032583,0.006158316195192226
0.039029169082641604,0.0035091854710759944,0.06482272148132324,0.004564285570739246,5,1,2000,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'tfidf__max_features': 2000}",0.8261231281198004,0.8144758735440932,0.8202995008319468,0.8244592346089851,0.8193172356369692,0.8209349945483589,0.004100688680374708,9,0.8215102974828375,0.8458498023715415,0.8208862076138964,0.8473060120657374,0.8232113144758736,0.8317527268019773,0.012137351805537495
0.03719830513000488,0.0031243947577937734,0.06372747421264649,0.001966892961675463,5,1,3000,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'tfidf__max_features': 3000}",0.8211314475873545,0.8178036605657238,0.7995008319467554,0.8111480865224625,0.8001665278934221,0.8099501109031436,0.008866133375370629,12,0.8179737882255045,0.8183898481381319,0.8142292490118577,0.8152693987934263,0.8242512479201332,0.8180227064178108,0.0034900698343662217
0.030838203430175782,0.0033337517161337034,0.05019831657409668,0.003245738736257337,5,2,1000,"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'tfidf__max_features': 1000}",0.8419301164725458,0.8410981697171381,0.8377703826955075,0.8327787021630616,0.8467943380516236,0.8400743418199752,0.004651560128134428,5,0.8583315997503641,0.8637403786145205,0.8618681090076971,0.905554399833576,0.8600249584026622,0.869903889121764,0.017916655331148078
0.03383970260620117,0.004170390536160164,0.048367643356323244,0.004687799282111711,5,2,2000,"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'tfidf__max_features': 2000}",0.8410981697171381,0.8352745424292846,0.8352745424292846,0.8369384359400999,0.8434637801831807,0.8384098941397976,0.003304380112817523,6,0.8479301019346785,0.9265654254212606,0.8514666111920116,0.9267734553775744,0.8490016638935108,0.8803474515638072,0.03783918825723877
0.03377861976623535,0.004506401449772327,0.049754095077514646,0.005611227955774813,5,2,3000,"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'tfidf__max_features': 3000}",0.8610648918469218,0.8618968386023295,0.8544093178036606,0.8469217970049917,0.8659450457951707,0.8580475782106148,0.00668297729483478,2,0.8880798835032244,0.8945288121489494,0.8947368421052632,0.890576242978989,0.8891430948419301,0.8914129751156711,0.002746580019044993
0.03372340202331543,0.007180251925627951,0.0,0.0,5,3,1000,"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'tfidf__max_features': 1000}",,,,,,,,19,,,,,,,
0.025173377990722657,0.004077515654280701,0.0,0.0,5,3,2000,"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'tfidf__max_features': 2000}",,,,,,,,19,,,,,,,
0.02933950424194336,0.004045065852786842,0.0,0.0,5,3,3000,"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'tfidf__max_features': 3000}",,,,,,,,19,,,,,,,
0.03273453712463379,0.00389473325991339,0.06787214279174805,0.011007953023063748,7,1,1000,"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'tfidf__max_features': 1000}",0.8211314475873545,0.8036605657237936,0.8211314475873545,0.8153078202995009,0.8176519567027477,0.8157766475801502,0.006448004173519443,10,0.8277511961722488,0.8196380278760141,0.8219263573954649,0.8246307468275431,0.819883527454243,0.8227659711451027,0.0030700918191904005
0.03497929573059082,0.004487528184819808,0.06413502693176269,0.0006582635227979759,7,1,2000,"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'tfidf__max_features': 2000}",0.8277870216306157,0.8194675540765392,0.8186356073211315,0.8202995008319468,0.8201498751040799,0.8212679117928626,0.003312308368554958,8,0.8258789265654254,0.8267110463906803,0.8202621177449553,0.8219263573954649,0.8238352745424293,0.8237227445277912,0.002399778175858167
0.034682512283325195,0.002870500201974392,0.06400585174560547,0.0014083613390133284,7,1,3000,"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'tfidf__max_features': 3000}",0.8252911813643927,0.8153078202995009,0.8128119800332779,0.8178036605657238,0.8018318068276437,0.8146092898181078,0.007632681708908074,11,0.8202621177449553,0.8177657582691907,0.8213022675265238,0.819013938007073,0.8236272878535774,0.820394273880264,0.002005428557583716
0.03322272300720215,0.0014472786098457897,0.05064964294433594,0.0036361353771211242,7,2,1000,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'tfidf__max_features': 1000}",0.848585690515807,0.8369384359400999,0.8352745424292846,0.8369384359400999,0.8451290591174022,0.8405732327885387,0.005281186384745802,4,0.8525067609735802,0.8535469107551488,0.8510505512793842,0.8570834200124818,0.8502495840266223,0.8528874454094435,0.00238824248229793
0.03548617362976074,0.003859670098011712,0.05075416564941406,0.00315399399530879,7,2,2000,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'tfidf__max_features': 2000}",0.8560732113144759,0.846089850249584,0.8336106489184693,0.8336106489184693,0.8442964196502915,0.8427361558102581,0.008462960371284257,3,0.8589556896193051,0.8928645724984398,0.8443935926773455,0.8560432702309132,0.8531613976705491,0.8610837045393106,0.016620955290478173
0.03464012145996094,0.004377262719417438,0.051940202713012695,0.0040271600787274734,7,2,3000,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'tfidf__max_features': 3000}",0.8668885191347754,0.8577371048252912,0.8535773710482529,0.8552412645590682,0.86511240632806,0.8597113331790895,0.0053326948513148864,1,0.8795506552943624,0.8797586852506761,0.8874557936342833,0.8837112544206366,0.8853993344425957,0.8831751446085108,0.003110225315396397
0.031880426406860354,0.004639287490819626,0.0,0.0,7,3,1000,"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'tfidf__max_features': 1000}",,,,,,,,19,,,,,,,
0.026077461242675782,0.0038834616716386643,0.0,0.0,7,3,2000,"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'tfidf__max_features': 2000}",,,,,,,,19,,,,,,,
0.025905132293701172,0.0035593351872531486,0.0,0.0,7,3,3000,"{'classifier__n_neighbors': 7, 'classifier__p': 3, 'tfidf__max_features': 3000}",,,,,,,,19,,,,,,,
